name,salary,specialization,sex,age,experience,employment,citizenship
Программист Java,40000,"Программист, разработчик",Мужчина,38 лет,Опыт работы 1 год 10 месяцев,,Гражданство: Россия
Java developer,0,"Программист, разработчик",Мужчина,,Опыт работы 4 года,"Занятость: полная занятость
График работы: полный день
",Гражданство: Казахстан
Java Developer,400000,"Программист, разработчик",Мужчина,22 года,Опыт работы 10 месяцев,,Гражданство: Казахстан
Java Developer,60000,"Программист, разработчик",Мужчина,20 лет,Опыт работы 1 год 5 месяцев,,"Гражданство: Молдавия, Россия"
Java Developer ,500000,"Программист, разработчик",Мужчина,22 года,Опыт работы 1 год 3 месяца,,Гражданство: Казахстан
Java Backend Developer,0,"Programmer, developer",Male,22 года,Work experience 1 year 5 months,"Employment: part time, project work, full time
Work schedule: flexible schedule, full day, shift schedule, remote working
",Citizenship: Kazakhstan
Backend разработчик(Java),0,"Программист, разработчик",Мужчина,21 год,Опыт работы 2 года 5 месяцев,"Занятость: стажировка, волонтерство, частичная занятость, проектная работа, полная занятость
График работы: удаленная работа
",Гражданство: Казахстан
Java-программист,4000,"Программист, разработчик",Мужчина,28 лет,Опыт работы 8 лет 5 месяцев,,Гражданство: Узбекистан
Java-developer,70000,"Программист, разработчик",Мужчина,24 года,Опыт работы 1 год 5 месяцев,,Гражданство: Россия
Java-разработчик,0,"Программист, разработчик",Мужчина,23 года,Опыт работы 1 год 6 месяцев,"Занятость: частичная занятость, полная занятость
График работы: гибкий график, полный день, удаленная работа
",Гражданство: Казахстан
Java developer,500000,"Программист, разработчик",Мужчина,20 лет,Опыт работы 1 год 4 месяца,,Гражданство: Казахстан
Java-разработчик,0,"Программист, разработчик",Мужчина,27 лет,Опыт работы 4 года 9 месяцев,"Занятость: частичная занятость, проектная работа, полная занятость
График работы: гибкий график, полный день, сменный график, удаленная работа
",Гражданство: Казахстан
Java Back end developer,0,"Программист, разработчик",Мужчина,21 год,Опыт работы 7 месяцев,"Занятость: полная занятость
График работы: полный день
",Гражданство: Казахстан
Java Developer,150000,"Программист, разработчик",Мужчина,23 года,Опыт работы 2 года 6 месяцев,,Гражданство: Кыргызстан
Java-программист,0,"Программист, разработчик",Мужчина,33 года,Опыт работы 10 лет 10 месяцев,"Занятость: полная занятость
График работы: полный день
",Гражданство: Казахстан
Java Разработчик,0,"Программист, разработчик",Мужчина,35 лет,Опыт работы 11 лет,"Занятость: полная занятость
График работы: полный день, удаленная работа
",Гражданство: Казахстан
Junior+/Middle Java разработчик,0,"Программист, разработчик",Мужчина,22 года,Опыт работы 1 год 1 месяц,"Занятость: частичная занятость, проектная работа, полная занятость
График работы: гибкий график, полный день, сменный график, удаленная работа
",Гражданство: Кыргызстан
Java Spring Разработчик,0,"Программист, разработчик",Мужчина,21 год,Опыт работы 2 года 3 месяца,"Занятость: стажировка, волонтерство, частичная занятость, проектная работа, полная занятость
График работы: гибкий график, полный день, сменный график, удаленная работа
",Гражданство: Казахстан
Java-разработчик,0,"Programmer, developer",Male,29 лет,Work experience 4 years 8 months,"Employment: full time
Work schedule: remote working
",Citizenship: Kazakhstan
"Java-разработчик, Full-stack",0,"Программист, разработчик",Мужчина,22 года,Опыт работы 2 года 3 месяца,"Занятость: частичная занятость, полная занятость
График работы: гибкий график, полный день, удаленная работа
",Гражданство: Казахстан
